eyeX,eyeY,eyeZ,timestamp
-2.7,2.5,5,8.09761
-2.7,2.5,5,8.104048
-2.7,2.5,5,8.110561
-2.7,2.5,5,8.117319
-2.7,2.5,5,8.123857
-2.7,2.5,5,8.13071
-2.7,2.5,5,8.137361
-2.7,2.5,5,8.149727
-2.7,2.5,5,8.15683
-2.7,2.5,5,8.16453
-2.7,2.5,5,8.171411
-2.7,2.5,5,8.177981
-2.7,2.5,5,8.185623
-2.7,2.5,5,8.192898
-2.7,2.5,5,8.199663
-2.7,2.5,5,8.206376
-2.7,2.5,5,8.212642
-2.7,2.5,5,8.219324
-2.7,2.5,5,8.337805
-2.7,2.5,5,8.351723
-2.7,2.5,5,8.358218
-2.7,2.5,5,8.365448
-2.7,2.5,5,8.372364
-2.7,2.5,5,8.378834
-2.7,2.5,5,8.385869
-2.7,2.5,5,8.392845
-2.7,2.5,5,8.399386
-2.7,2.5,5,8.406229
-2.7,2.5,5,8.412187
-2.7,2.5,5,8.418429
-2.7,2.5,5,8.425193
-2.7,2.5,5,8.433051
-2.7,2.5,5,8.439819
-2.7,2.5,5,8.446895
-2.7,2.5,5,8.453807
-2.7,2.5,5,8.460504
-2.7,2.5,5,8.467264
-2.7,2.5,5,8.473777
-2.7,2.5,5,8.481059
-2.7,2.5,5,8.487784
-2.7,2.5,5,8.501027
-2.7,2.5,5,8.508733
-2.7,2.5,5,8.515533
-2.7,2.5,5,8.52257
-2.7,2.5,5,8.529612
-2.7,2.5,5,8.536586
-2.7,2.5,5,8.543345
-2.7,2.5,5,8.55134
-2.7,2.5,5,8.557582
-2.7,2.5,5,8.564281
-2.2,2.5,5,8.570971
-2.2,2.5,5,8.577641
-2.2,2.5,5,8.584288
-2.2,2.5,5,8.590693
-2.2,2.5,5,8.597489
-2.2,2.5,5,8.604062
-2.2,2.5,5,8.610413
-2.2,2.5,5,8.617225
-2.2,2.5,5,8.623726
-2.2,2.5,5,8.630167
-2.2,2.5,5,8.636558
-2.2,2.5,5,8.643229
-2.2,2.5,5,8.656072
-2.2,2.5,5,8.662849
-2.2,2.5,5,8.669351
-2.2,2.5,5,8.675882
-2.2,2.5,5,8.682565
-2.2,2.5,5,8.688941
-2.2,2.5,5,8.695904
-2.2,2.5,5,8.702496
-2.2,2.5,5,8.709171
-2.2,2.5,5,8.71657
